fx_rate_id,base_currency,quote_currency,rate_date,rate,source,updated_at
fxr_704f76c4,INR,USD,2026-08-01,0.01179505,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_19f4365b,INR,EUR,2026-08-01,0.01088862,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_f5bf5618,INR,GBP,2026-08-01,0.00934834,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_ad878220,INR,AED,2026-08-01,0.04353409,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_15558ca5,INR,SGD,2026-08-01,0.01585128,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_55208ad6,INR,THB,2026-08-01,0.4132703,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_92d30341,INR,LKR,2026-08-01,3.47993177,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_82221073,INR,NPR,2026-08-01,1.57916158,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_b79cd06d,INR,BTN,2026-08-01,0.98235955,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_f7ea64c0,INR,MVR,2026-08-01,0.18162545,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_897d1584,INR,JPY,2026-08-01,1.78955622,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_2d9c8324,INR,KRW,2026-08-01,15.96212893,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_a74fd3c8,INR,KWD,2026-08-01,0.00361853,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_9617f15a,INR,BHD,2026-08-01,0.00443051,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_1e7626d9,INR,AUD,2026-08-01,0.01814218,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_95666485,INR,CAD,2026-08-01,0.0161881,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_e2928d4f,INR,CHF,2026-08-01,0.01036647,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_d6f4526d,INR,MYR,2026-08-01,0.05276753,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_3f742aa3,INR,IDR,2026-08-01,190.98970719,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_cf40b799,INR,VND,2026-08-01,299.9802451,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_ba5a2c09,INR,CNY,2026-08-01,0.08534817,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_b319f704,INR,QAR,2026-08-01,0.04302163,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_473bc904,INR,SAR,2026-08-01,0.04430888,kv_synthetic_feed,2026-08-18T10:00:00+05:30
fxr_3eead5e6,INR,NZD,2026-08-01,0.01978935,kv_synthetic_feed,2026-08-18T10:00:00+05:30
