airport_id,iata,icao,name,city_id,lat,lng,timezone,is_international,updated_at
apt_d3a5784e,JAI,VJAI,Jaipur International Airport,cty_c07454f1,26.999347,75.840193,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_b1b7de16,UDA,VUDA,Udaipur International Airport,cty_5d572c8a,24.568446,73.874014,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_8bbac3f4,JOD,VJOD,Jodhpur International Airport,cty_076e8e86,26.116526,73.098698,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_fd796dfb,JAA,VJAA,Jaisalmer International Airport,cty_10cbee86,27.054655,71.034779,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_93ae807c,AGR,VAGR,Agra International Airport,cty_b43cdd57,27.062736,77.987428,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_dcb45115,VAR,VVAR,Varanasi International Airport,cty_c97e6cd5,25.164891,83.027628,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_faa26bd2,LUC,VLUC,Lucknow International Airport,cty_5698a7ab,26.795101,80.91508,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_bfd02a38,NEW,VNEW,New Delhi International Airport,cty_0b92e2e7,28.669502,77.037849,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_191badfc,AMR,VAMR,Amritsar International Airport,cty_0d062a51,31.522935,74.85263,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_d4b03aed,SHI,VSHI,Shimla International Airport,cty_32e8e65c,30.960427,76.996809,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_d978e1a2,MAN,VMAN,Manali International Airport,cty_9327d518,32.146498,77.051239,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_e5fc0919,RIS,VRIS,Rishikesh International Airport,cty_d35a9652,30.196039,78.180135,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_accb8bf3,NAI,VNAI,Nainital International Airport,cty_0d9ab6ff,29.247205,79.585927,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_0460d2f4,LEH,VLEH,Leh International Airport,cty_aa759717,34.074796,77.570275,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_70604940,SRI,VSRI,Srinagar International Airport,cty_828a7777,34.117722,74.863094,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_bdf57d77,MUM,VMUM,Mumbai International Airport,cty_95e7c8ca,19.140553,72.971943,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_08ebf678,PUN,VPUN,Pune International Airport,cty_621f4a84,18.371372,73.87059,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_0361b7ab,AUR,VAUR,Aurangabad International Airport,cty_f29656ff,19.873185,75.201399,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
