fare_id,flight_id,cabin_class,fare_class,base_fare,taxes,currency,baggage_kg,cabin_baggage_kg,changeable,change_fee,refundable,seats_total,status,updated_at
far_5a8bce18,flt_dc85bfc2,economy,saver,4787.74,766.04,INR,15,7,0,,0,94,active,2026-08-18T10:00:00+05:30
far_a3f7b5cf,flt_dc85bfc2,economy,promo,4243.67,678.99,INR,15,7,0,,0,167,active,2026-08-18T10:00:00+05:30
far_9d931f82,flt_dc85bfc2,business,promo,13155.39,2104.86,INR,30,7,0,,0,19,active,2026-08-18T10:00:00+05:30
far_3282c94e,flt_dc85bfc2,business,standard,16865.89,2698.54,INR,30,7,0,2023.91,0,13,active,2026-08-18T10:00:00+05:30
far_f4e58559,flt_dd79d087,economy,flex,5772.01,923.52,INR,15,7,1,692.64,1,69,active,2026-08-18T10:00:00+05:30
far_d306c336,flt_dd79d087,economy,promo,3690.30,590.45,INR,15,7,0,,0,124,active,2026-08-18T10:00:00+05:30
far_1a109ded,flt_dd79d087,business,standard,14666.59,2346.65,INR,30,7,0,,0,4,active,2026-08-18T10:00:00+05:30
far_5e6e22d2,flt_dd79d087,business,saver,12906.60,2065.06,INR,30,7,0,,0,23,active,2026-08-18T10:00:00+05:30
far_4d308e0c,flt_55388de6,economy,standard,4813.91,770.23,THB,15,7,0,,0,164,active,2026-08-18T10:00:00+05:30
far_8495828a,flt_afe26d50,economy,flex,6304.09,1008.65,INR,15,7,1,756.49,1,123,active,2026-08-18T10:00:00+05:30
far_f3c125f1,flt_afe26d50,economy,standard,5167.29,826.77,INR,15,7,0,620.07,0,30,active,2026-08-18T10:00:00+05:30
far_2cc8935c,flt_afe26d50,business,flex,19542.68,3126.83,INR,30,7,1,2345.12,1,39,active,2026-08-18T10:00:00+05:30
far_bf203cd2,flt_afe26d50,business,promo,12494.50,1999.12,INR,30,7,0,,0,10,active,2026-08-18T10:00:00+05:30
far_593ebca6,flt_09392f2b,economy,corporate,5515.04,882.41,INR,15,7,1,,0,112,active,2026-08-18T10:00:00+05:30
far_091ec17f,flt_09392f2b,economy,saver,4412.03,705.92,INR,15,7,0,529.44,0,149,active,2026-08-18T10:00:00+05:30
far_3fabdb64,flt_09392f2b,business,flex,18961.69,3033.87,INR,30,7,1,2275.40,1,18,active,2026-08-18T10:00:00+05:30
far_1662971f,flt_09392f2b,business,promo,12123.05,1939.69,INR,30,7,0,1454.77,0,34,active,2026-08-18T10:00:00+05:30
far_09594d15,flt_4d32701e,economy,promo,4478.95,716.63,INR,15,7,0,537.47,0,73,active,2026-08-18T10:00:00+05:30
far_02155462,flt_4d32701e,economy,standard,5742.24,918.76,INR,15,7,0,689.07,0,89,active,2026-08-18T10:00:00+05:30
far_1681fe4b,flt_4d32701e,business,corporate,19581.05,3132.97,INR,30,7,1,,0,37,active,2026-08-18T10:00:00+05:30
far_96155e80,flt_4d32701e,business,standard,17800.95,2848.15,INR,30,7,0,2136.11,0,14,active,2026-08-18T10:00:00+05:30
far_47bd96fb,flt_9e2dcf0a,economy,flex,5220.14,835.22,INR,15,7,1,626.42,1,40,active,2026-08-18T10:00:00+05:30
far_36a4a7b5,flt_651bf739,economy,saver,3260186.34,521629.81,IDR,15,7,0,391222.36,0,41,active,2026-08-18T10:00:00+05:30
far_c937f49b,flt_651bf739,economy,promo,2889710.62,462353.70,IDR,15,7,0,346765.27,0,165,active,2026-08-18T10:00:00+05:30
far_2f3ebac0,flt_651bf739,business,saver,10106577.65,1617052.42,IDR,30,7,0,1212789.32,0,12,active,2026-08-18T10:00:00+05:30
far_584b0dee,flt_651bf739,business,corporate,12633222.06,2021315.53,IDR,30,7,1,,0,37,active,2026-08-18T10:00:00+05:30
far_e2546ddd,flt_04c86c81,economy,promo,5311.59,849.85,INR,15,7,0,637.39,0,137,active,2026-08-18T10:00:00+05:30
far_9b63bae4,flt_04c86c81,economy,corporate,7490.70,1198.51,INR,15,7,1,,0,146,active,2026-08-18T10:00:00+05:30
far_82ecab7c,flt_04c86c81,business,corporate,23221.16,3715.39,INR,30,7,1,,0,34,active,2026-08-18T10:00:00+05:30
far_7ac64a1d,flt_04c86c81,business,standard,21110.15,3377.62,INR,30,7,0,2533.22,0,14,active,2026-08-18T10:00:00+05:30
far_da0a3217,flt_72928f41,economy,saver,8374.64,1339.94,INR,15,7,0,1004.96,0,72,active,2026-08-18T10:00:00+05:30
far_a164aadb,flt_72928f41,economy,promo,7422.98,1187.68,INR,15,7,0,890.76,0,153,active,2026-08-18T10:00:00+05:30
far_bb706f02,flt_72928f41,business,corporate,32451.73,5192.28,INR,30,7,1,3894.21,0,30,active,2026-08-18T10:00:00+05:30
far_a6e85292,flt_72928f41,business,promo,23011.23,3681.80,INR,30,7,0,,0,34,active,2026-08-18T10:00:00+05:30
far_03ab7c11,flt_16525814,economy,standard,4525951.80,724152.29,IDR,15,7,0,543114.22,0,92,active,2026-08-18T10:00:00+05:30
far_8033c953,flt_16525814,economy,saver,3982837.58,637254.01,IDR,15,7,0,477940.51,0,51,active,2026-08-18T10:00:00+05:30
far_e88d6266,flt_16525814,business,flex,17117149.71,2738743.95,IDR,30,7,1,,1,11,active,2026-08-18T10:00:00+05:30
far_688f0d6e,flt_16525814,business,standard,14030450.58,2244872.09,IDR,30,7,0,,0,29,active,2026-08-18T10:00:00+05:30
far_45ef4de7,flt_44880b46,economy,flex,9394.64,1503.14,INR,15,7,1,,1,117,active,2026-08-18T10:00:00+05:30
far_0ca5ffbc,flt_44880b46,economy,promo,6006.41,961.03,INR,15,7,0,720.77,0,23,active,2026-08-18T10:00:00+05:30
far_24d5f2b0,flt_44880b46,business,saver,21007.03,3361.12,INR,30,7,0,2520.84,0,16,active,2026-08-18T10:00:00+05:30
far_4ce3f28e,flt_44880b46,business,flex,29123.38,4659.74,INR,30,7,1,3494.81,1,16,active,2026-08-18T10:00:00+05:30
far_115af54e,flt_0b50a867,economy,flex,353.31,56.53,AED,15,7,1,,1,167,active,2026-08-18T10:00:00+05:30
far_b86eff41,flt_350df905,economy,promo,2719.82,435.17,INR,15,7,0,326.38,0,106,active,2026-08-18T10:00:00+05:30
far_29df1487,flt_350df905,economy,saver,3068.52,490.96,INR,15,7,0,368.22,0,31,active,2026-08-18T10:00:00+05:30
far_e3697d92,flt_350df905,business,saver,9512.41,1521.99,INR,30,7,0,1141.49,0,8,active,2026-08-18T10:00:00+05:30
far_dce9eff5,flt_350df905,business,flex,13187.66,2110.03,INR,30,7,1,,1,22,active,2026-08-18T10:00:00+05:30
far_c6b53b1d,flt_47126bb5,economy,saver,11755.50,1880.88,INR,15,7,0,,0,78,active,2026-08-18T10:00:00+05:30
far_465a8f04,flt_47126bb5,economy,standard,13358.52,2137.36,INR,15,7,0,,0,126,active,2026-08-18T10:00:00+05:30
far_e2eed63c,flt_47126bb5,business,promo,32300.90,5168.14,INR,30,7,0,3876.11,0,34,active,2026-08-18T10:00:00+05:30
far_15f0689f,flt_47126bb5,business,standard,41411.41,6625.83,INR,30,7,0,,0,27,active,2026-08-18T10:00:00+05:30
far_6d00eac9,flt_00e4954f,economy,standard,15300.78,2448.13,INR,15,7,0,1836.09,0,118,active,2026-08-18T10:00:00+05:30
far_1f4f89fb,flt_00e4954f,economy,corporate,16830.86,2692.94,INR,15,7,1,2019.70,0,86,active,2026-08-18T10:00:00+05:30
