hold_id,inventory_id,user_id,units,idempotency_key,created_at,expires_at,released_at,booking_id,status,updated_at
hld_f95ff237,inv_b13e4254,usr_c538bbe8,2,hidem_51269e1a3ae92e55,2026-08-16T13:30:00+05:30,2026-08-16T13:50:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_932247ea,inv_7665f64e,usr_e5c87ca2,1,hidem_376a8e4c83979499,2026-08-10T02:00:00+05:30,2026-08-10T02:15:00+05:30,2026-08-10T02:17:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_c0950a00,inv_72d384e6,usr_e47b6104,2,hidem_02c096d7c7d146a2,2026-08-11T10:15:00+05:30,2026-08-11T10:25:00+05:30,2026-08-11T10:32:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_ef2e3e2e,inv_d0878d24,usr_acb4c4ba,2,hidem_9f56d5cf09f20f47,2026-08-14T12:15:00+05:30,2026-08-14T12:30:00+05:30,,bkg_a4abd076,confirmed,2026-08-18T10:00:00+05:30
hld_63a2e9a9,inv_b4d56cfa,usr_329d228c,2,hidem_36df1239b7477395,2026-08-10T11:15:00+05:30,2026-08-10T11:35:00+05:30,,bkg_9aad8c6e,confirmed,2026-08-18T10:00:00+05:30
hld_3b849db5,inv_35b1cb59,usr_4db9e8d2,1,hidem_ff7fb1988a5acc78,2026-08-15T20:00:00+05:30,2026-08-15T20:15:00+05:30,2026-08-15T20:17:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_40dd9081,inv_12b82221,usr_9b002a1a,1,hidem_cff424866104922c,2026-08-12T16:45:00+05:30,2026-08-12T17:00:00+05:30,2026-08-12T17:02:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_a982ecb9,inv_bcdefd94,usr_f9060fbb,1,hidem_32bc3c2b31ca243d,2026-08-12T01:45:00+05:30,2026-08-12T01:55:00+05:30,2026-08-12T02:02:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_b09900a6,inv_0ab6dda7,usr_76c305e4,1,hidem_6107a316a53c7c2d,2026-08-16T00:45:00+05:30,2026-08-16T01:05:00+05:30,2026-08-16T01:02:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_5a8e6fce,inv_f2e04462,usr_a8caec17,1,hidem_774f1dcc9ace18a6,2026-08-15T10:00:00+05:30,2026-08-15T10:10:00+05:30,,bkg_8eef0958,confirmed,2026-08-18T10:00:00+05:30
hld_b69de6f1,inv_91f8f409,usr_13d8f6bd,2,hidem_0286698333e74c19,2026-08-14T03:15:00+05:30,2026-08-14T03:35:00+05:30,,bkg_c21cff38,confirmed,2026-08-18T10:00:00+05:30
hld_cbda9517,inv_3704e297,usr_268fdb85,1,hidem_141c56b397796f01,2026-08-11T01:30:00+05:30,2026-08-11T01:40:00+05:30,,bkg_a12457bb,confirmed,2026-08-18T10:00:00+05:30
hld_9f081830,inv_3dde02e7,usr_9ae694ba,1,hidem_cc3a739b1fca1269,2026-08-11T10:30:00+05:30,2026-08-11T10:40:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_eb659c93,inv_d421b2f0,usr_14ca6dc1,2,hidem_bd9b85717f56f7f1,2026-08-16T20:00:00+05:30,2026-08-16T20:20:00+05:30,,bkg_776b7510,confirmed,2026-08-18T10:00:00+05:30
hld_bfe2d52f,inv_8164b930,usr_3e6ed8be,2,hidem_97513674bf9882d0,2026-08-17T12:30:00+05:30,2026-08-17T12:50:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_ec81f599,inv_46e125d8,usr_865b890c,2,hidem_6ee7ca71916020e5,2026-08-10T22:00:00+05:30,2026-08-10T22:10:00+05:30,,bkg_76df2b9e,confirmed,2026-08-18T10:00:00+05:30
hld_a5dfad97,inv_d511056c,usr_0db0f175,2,hidem_2a2b8bc9838138ad,2026-08-12T13:00:00+05:30,2026-08-12T13:20:00+05:30,,bkg_952bd5be,confirmed,2026-08-18T10:00:00+05:30
hld_604b7d19,inv_b3d50393,usr_560bdda1,2,hidem_95d192f9ff1271dc,2026-08-16T15:15:00+05:30,2026-08-16T15:35:00+05:30,2026-08-16T15:32:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_64016817,inv_75417797,usr_5d8450f0,1,hidem_43d42af9e1591e93,2026-08-13T17:00:00+05:30,2026-08-13T17:15:00+05:30,2026-08-13T17:17:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_61170c0d,inv_a813e52f,usr_6be041f5,1,hidem_5f739e71e9cea4ee,2026-08-17T20:15:00+05:30,2026-08-17T20:35:00+05:30,2026-08-17T20:32:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_47dd1d9b,inv_ad558465,usr_991a1e29,2,hidem_50c6e92ea2123c25,2026-08-15T10:30:00+05:30,2026-08-15T10:45:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_9a8ab6b0,inv_72af7ac9,usr_af17aeaa,1,hidem_0dcee3e2ed775d64,2026-08-16T10:15:00+05:30,2026-08-16T10:25:00+05:30,2026-08-16T10:32:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_9e8167fc,inv_3ee01e75,usr_1549bc70,1,hidem_372afd1312df8a57,2026-08-11T21:45:00+05:30,2026-08-11T22:00:00+05:30,,bkg_e54b67a7,confirmed,2026-08-18T10:00:00+05:30
hld_d3c7f9ce,inv_49e843cf,usr_0eb7982c,2,hidem_f99f9463ca5e72ef,2026-08-10T17:30:00+05:30,2026-08-10T17:40:00+05:30,2026-08-10T17:47:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_2ca348ce,inv_969e3a8c,usr_a4ca5f2e,2,hidem_7f62a5b0a1c891c3,2026-08-11T17:15:00+05:30,2026-08-11T17:30:00+05:30,,bkg_c50c71e2,confirmed,2026-08-18T10:00:00+05:30
hld_d9b50cf4,inv_95499b12,usr_6d4dd52b,2,hidem_1774511a1fee44ae,2026-08-14T09:45:00+05:30,2026-08-14T10:00:00+05:30,2026-08-14T10:02:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_ae2996ac,inv_207e08a0,usr_32856f40,1,hidem_7b0f24b79c82ed9b,2026-08-15T05:45:00+05:30,2026-08-15T05:55:00+05:30,,bkg_78245438,confirmed,2026-08-18T10:00:00+05:30
hld_bb2a1b3b,inv_a0829cd1,usr_1805266d,1,hidem_5dadc1856759276f,2026-08-10T19:45:00+05:30,2026-08-10T19:55:00+05:30,2026-08-10T20:02:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_a1556a77,inv_c7759a85,usr_7f6e49de,2,hidem_e45237e400a99cd0,2026-08-17T23:30:00+05:30,2026-08-17T23:45:00+05:30,2026-08-17T23:47:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_bf891841,inv_e4871711,usr_a685483e,2,hidem_13c9a3c67154695c,2026-08-14T10:30:00+05:30,2026-08-14T10:50:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_025aab03,inv_290ca019,usr_b2323a23,1,hidem_6a006d124a59a179,2026-08-17T01:30:00+05:30,2026-08-17T01:50:00+05:30,2026-08-17T01:47:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_01406c4e,inv_b5e6cf57,usr_e7080930,1,hidem_93693dfd8f48a731,2026-08-12T13:30:00+05:30,2026-08-12T13:45:00+05:30,2026-08-12T13:47:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_2e16d175,inv_1e99307c,usr_c95be507,2,hidem_ba9ba42a361f5388,2026-08-11T21:00:00+05:30,2026-08-11T21:10:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_531d67bc,inv_594f79e7,usr_343719c9,1,hidem_88c21a2f48746c90,2026-08-13T23:15:00+05:30,2026-08-13T23:25:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_1b95e449,inv_e5cffe4c,usr_b1a4b433,1,hidem_1b69015636e9bfc2,2026-08-12T00:45:00+05:30,2026-08-12T01:00:00+05:30,2026-08-12T01:02:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_d8b859ab,inv_7bea890a,usr_50db435c,1,hidem_8e79c5abe3440e45,2026-08-14T20:00:00+05:30,2026-08-14T20:15:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_4297364c,inv_3931d201,usr_2162d6ff,1,hidem_13f1831230f33b54,2026-08-15T03:00:00+05:30,2026-08-15T03:15:00+05:30,2026-08-15T03:17:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_f55afece,inv_de438d8e,usr_243cefe8,2,hidem_3e412d59a0cd3e48,2026-08-16T05:15:00+05:30,2026-08-16T05:30:00+05:30,,,active,2026-08-18T10:00:00+05:30
